"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"73" 70.75 64.25 "Control" 8 0 0 15 0 96 0 0 185 0 0.04 0.01 0 0.44 0.03
"74" 71.25 63.75 "Control" 11 0 0 14 0 119 0 0 170 0 1.71 0 0 0.17 0.18
"75" 77.25 63.75 "Control" 39 0 0 30 1 160 0 0 143 1 2.05 0 0 0.21 0.22
"76" 110.25 50.25 "Control" 52 0 0 35 3 353 0 0 229 6 1.16 0.09 0 0.27 0.86
"77" -120.25 62.75 "Control" 8 0 0 51 26 63 0 0 321 47 0 0 0 0 6.59
"78" -118.75 60.25 "Control" 32 3 0 31 1 255 4 0 216 10 3.7 0 0 0 0
"79" -96.25 52.25 "Control" 14 8 0 32 0 73 9 0 169 0 3.66 0 0 0 0
"80" -94.75 53.75 "Control" 22 1 0 29 0 142 2 0 183 1 0.33 5.63 0 0.01 0.86
"81" -61.75 50.75 "Control" 25 0 0 24 0 177 0 0 179 1 0.7 0 0 0.19 0.26
"82" 22.25 66.25 "Control" 60 0 0 106 1 419 0 0 812 4 3.89 0 0 0 1.16
"83" 25.25 61.75 "Control" 1 0 48 26 2 4 0 218 128 3 0 1.25 4.37 0 0.39
"84" 31.25 64.25 "Control" 55 0 0 32 2 358 0 0 239 4 0.52 0 0 0.14 0.27
"85" 78.25 65.25 "Control" 6 0 0 17 0 20 0 0 91 0 0.04 0 0 0.43 0.03
"86" 82.25 63.75 "Control" 26 0 0 25 0 101 0 0 140 0 2.1 0 0 0.15 0.07
"87" 114.25 52.25 "Control" 38 0 0 29 5 226 0 0 212 9 0.02 1.32 0 0 8.31
"88" 115.25 52.25 "Control" 33 0 0 31 6 154 0 0 158 8 3.49 0 0 0 0
"89" 135.75 51.25 "Control" 14 0 0 20 0 174 0 0 194 5 3.25 0 0 0.14 0.41
"90" -149.75 64.25 "Control" 25 0 0 22 0 284 1 0 241 11 4.57 0.89 0 0 3.54
"91" -117.75 62.75 "Control" 0 0 0 56 8 0 0 0 240 8 0.21 0 0 0.38 1.02
"92" -90.25 50.25 "Control" 44 0 0 28 1 274 0 0 188 1 5.26 0 0 0 1.94
"93" -74.75 54.75 "Control" 1 0 0 30 0 7 0 0 216 0 0.01 0 0 0.15 0.02
"94" 7.75 58.75 "Control" 40 0 0 20 3 370 0 24 187 13 9.7 0 0 0.01 0
"95" 16.75 63.25 "Control" 50 0 0 27 1 453 0 0 221 7 2.58 0 0 0.01 0.41
"96" 28.25 68.25 "Control" 29 0 0 24 0 271 0 0 253 5 1.01 0 0 0.02 0.17
"97" 32.75 59.75 "Control" 1 1 76 29 1 3 1 267 139 1 0 1.82 5.96 0 0
"98" 42.25 59.25 "Control" 22 5 0 30 0 144 8 0 177 1 7.78 0 0 0 0
"99" 49.75 66.75 "Control" 13 0 0 13 0 194 0 0 152 2 1.74 0 0 0.13 0.08
