"V1" "V2" "V3"
"102.75/52.75/Control" -2244.26775073438 117.117166882097 102.436947522739
"142.25/53.25/Control" -344.43767997246 134.874696279601 93.3048765751184
"-160.75/63.25/Control" -3326.6342686559 -138.945515265839 71.3150792887604
"-131.75/60.25/Control" -2657.12606709101 61.854065209759 121.271928237074
"-124.25/60.25/Control" -2735.36152835226 -86.949872491995 102.838764620021
"-63.25/53.75/Control" 2072.60432269761 -6.94023959584914 24.6357493818404
"8.25/59.25/Control" 2759.11196128416 289.819925969356 -15.9750938116851
"23.25/67.75/Control" -1142.17030498111 -182.915963215921 233.437364294747
"49.25/62.75/Control" -1076.69992532944 256.18794706823 29.0573819890668
"51.75/57.75/Control" -339.653237971463 255.001151158524 -10.1352584076044
"91.75/57.25/Control" -2126.66776965102 -118.258700793402 161.196037300183
"-125.75/58.25/Control" -1471.11010831217 -235.109470979898 301.87021016313
"-125.25/62.75/Control" -3338.38046962981 -4.6213079584311 103.373806791662
"-120.75/60.25/Control" -2557.74313166161 -15.245730088624 88.5742907888746
"-117.75/59.75/Control" -3324.25133493965 28.1162984593392 29.8876104154397
"-115.25/58.75/Control" -3107.72483118906 -190.679417425185 103.313269662558
"-111.75/59.75/Control" -3468.47606398814 -100.171218669952 118.791981423705
"-108.75/55.75/Control" -3181.90873185163 -202.632923507312 40.7444861532044
"-108.25/54.75/Control" -3376.79134591438 -165.026231424944 23.6025011576816
"-90.25/55.75/Control" -2538.53996936795 -29.7083047915315 104.320183866927
"-86.25/55.25/Control" -1291.84672115087 -71.5562237963107 140.402411667601
"-84.25/51.75/Control" 833.609359162089 -119.841470329652 117.82656491303
"-82.25/49.75/Control" 2003.21792466648 -169.022119777621 181.996012047339
"32.25/64.25/Control" -1037.31449478416 -48.8680216277382 104.664821479046
"48.25/57.25/Control" -1462.80067536505 113.800955523141 1.202160987292
"95.75/58.25/Control" -2888.40171109984 -46.291303947117 91.0733882305068
"111.25/51.25/Control" -3891.29004028136 92.018385293199 53.6072625890996
"-164.25/54.75/Control" 9005.56479641397 -257.474704230666 310.626923034883
"-151.25/65.25/Control" -4074.49836266981 -7.28625812062341 53.2487324315546
"-150.75/61.75/Control" 209.853090758925 144.578962991677 6.87766728265895
"-121.75/61.75/Control" -3327.25508923659 -11.7683979083623 62.9707173548716
"-121.75/62.75/Control" -3709.07349258832 14.3175832189356 38.8575002295826
"-121.25/57.75/Control" -2736.71241644353 -90.0650010333661 95.2934045138052
"-104.75/55.75/Control" -2022.24723803024 -427.495650378946 102.268583479304
"-103.25/55.25/Control" -2430.6459882198 -447.280093467327 102.934608686692
"-97.75/55.25/Control" -2105.25037356625 -139.406562956734 107.494470880331
"-75.75/51.25/Control" 3041.05028579607 -84.1003300784693 100.777543902204
"33.75/64.25/Control" -675.106467537702 -42.2252643701569 111.701302688471
"34.75/63.25/Control" -181.962431734025 -1.07358631540641 114.286212391158
"36.75/67.25/Control" -1608.10075819187 -11.4192274493536 95.0538210877775
"45.75/59.75/Control" -848.060941920903 237.158092950138 -55.0510815935755
"46.75/64.75/Control" -2178.82856728239 -11.6082066793975 100.376311203595
"53.75/57.75/Control" -1362.92762406778 215.184201238107 -30.0289054287749
"64.25/59.75/Control" -2725.10284807608 81.6506273029706 9.35704221731418
"65.25/58.75/Control" -1246.64060950937 -13.0426639544863 45.6236553311606
"108.75/48.75/Control" -4299.55346843171 158.107554526461 -8.36417146436765
"-161.75/62.75/Control" -1216.90635885307 -196.093874178235 129.464619406128
"-153.75/57.25/Control" 22482.3361902103 -175.432836764853 459.589905767695
"-131.25/58.75/Control" -2474.34166799178 15.8576910434353 126.677073041201
"-107.25/55.75/Control" -3117.81522294128 -305.425441255024 61.2100915050594
"-87.25/55.75/Control" -1520.0967896984 20.1523699529033 92.6662141107133
"-79.75/48.25/Control" 1905.73832676413 -119.297611216109 114.094439639753
"-77.25/51.25/Control" 1147.74146114607 -76.0656120580331 138.160398484883
"37.25/58.75/Control" -395.18443545038 174.994367587123 25.3825279534103
"41.75/60.25/Control" -665.717424994942 157.10763945458 12.8795111619742
"42.25/59.75/Control" -643.41326141796 201.794420272332 16.7904107690512
"42.75/60.25/Control" -896.424624779373 158.90200683966 13.0682278521447
"44.75/58.75/Control" -1087.64386852576 219.288480191204 -30.0017346885716
"57.75/64.75/Control" 236.017627318365 226.279450284947 16.4473988057989
"71.75/63.25/Control" -6.55551342362382 379.196534874865 -87.8047951313155
"76.25/65.25/Control" -69.8813350240111 411.146235489562 -17.2185309548988
"76.75/58.25/Control" -1639.40529484387 32.8510320188215 -29.054674092613
"77.25/59.75/Control" -1900.94992670863 115.124294709251 -5.94652362298816
"112.25/51.75/Control" -4339.93095239879 67.0966181536792 72.1170965086399
"146.75/60.25/Control" 1106.51591479811 249.377793203065 89.3170228943443
"156.25/56.25/Control" -87.8124495136418 348.149958273199 -17.746491456687
"-153.25/57.75/Control" 25528.8575040335 159.50802565041 456.552323019537
"-128.25/58.75/Control" -2693.43575202851 -114.740517977003 181.381931684515
"-121.25/58.25/Control" -2488.65692419043 -226.679391375266 160.883641978594
"-109.75/60.75/Control" -3333.23720384328 -37.5651464709671 93.9559986515953
"-103.75/53.75/Control" -3067.12769796177 -200.783057020749 5.26611588787564
"-69.75/51.25/Control" 2149.92530262523 -21.6135175616235 45.8683920233454
"-60.75/52.25/Control" 3258.78512412762 359.305509868479 -44.2266884224094
"36.75/59.25/Control" -607.62813309293 164.55917226326 13.6330852933745
"44.75/61.75/Control" -1033.12324189815 81.5598275194633 21.6888363148712
"62.75/62.25/Control" -1927.45880568777 289.837899133221 -82.229282469117
"78.25/62.25/Control" -1404.61026061771 171.982920048264 36.4480832904198
"98.75/57.75/Control" -3507.07372225577 -122.284930872114 119.311881792395
"111.25/50.75/Control" -3369.78807433234 84.5295110868552 86.199737269581
"137.75/54.75/Control" -163.332925339111 92.3396229955522 96.3613868156814
"-161.75/61.75/Control" -496.959390764979 -212.880603947628 180.719949665145
"-150.25/62.75/Control" 1632.69844585239 97.8098322823553 88.982973214005
"-96.75/51.25/Control" -1870.60981836164 31.507070840166 -3.64475317220244
"-96.25/54.75/Control" -3054.46524620218 -195.062450026139 97.1906921332705
"-89.25/48.75/Control" -812.412617983813 -141.81815275015 30.9518696839478
"-70.75/51.75/Control" 1791.1044431823 -108.364495534744 123.26602206839
"31.75/68.75/Control" -1731.47918992951 -169.881023000979 119.631713504504
"52.75/62.25/Control" -1225.18740920455 281.904014356047 7.31247785101275
"56.25/59.75/Control" 360.273993144782 596.177824689432 -64.2250375533872
"58.75/59.75/Control" -2087.33844878476 408.028589507827 -37.9114064460593
"60.25/58.25/Control" -1561.24153208856 89.7029682067007 9.36671519677975
"64.75/63.25/Control" -1042.10934071436 417.384733265959 -110.541926671552
"71.75/61.75/Control" -1112.76095790261 195.456219481066 -6.50614406943846
"80.25/64.25/Control" -1124.14366262791 374.05704642773 8.90551305078192
"98.75/55.25/Control" -3173.36450791815 145.868417794901 71.9185454369879
"162.25/58.75/Control" 914.256992553999 398.108918329655 57.5405523194255
"-151.25/66.75/Control" -3177.14318383122 -82.1405285818123 106.793474403921
