"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "Cluster" "scenario"
"X140.25.50.75.1" -1045.94820841912 -261.356218994269 -55.8458071599267 46.9037765832969 -14.2014342482012 -50.086101070929 28.0669853325002 27.830289503847 -2.08619639551267 -3.64256485107353 3 "Control"
"X.154.25.63.75.1" -1114.8060918433 -379.76103591225 -104.260513780191 66.4143714291608 -36.9961360017732 -29.5452190912978 24.3409217031541 41.4619977909593 -2.49103766475108 -4.55586497151647 3 "Control"
"X.144.75.63.75.1" -1064.53592549283 -307.594376556475 -35.2129566458544 -1.3545456440756 -11.7405333109537 -14.7142696174143 40.0852462071305 29.6729316447997 -0.805538869252083 -5.12032299503818 3 "Control"
"X.129.75.60.25.1" -924.544226792704 -131.093342322244 74.3029561197603 -76.4952492694495 32.8547112176674 -31.886025307226 54.5445084620542 3.41427527993248 -0.398496060335779 -3.45239021941238 3 "Control"
"X.127.25.60.25.1" -1012.74884207099 -239.521767472861 -0.212073442823622 -21.8140195788269 4.97879936209799 -26.3310022605005 44.7546036908146 18.9565137300049 -0.540777656782064 -4.44049838033333 3 "Control"
"X.118.25.61.25.1" 34.3632440967404 -13.2206657396798 134.51911677523 -36.3749053767128 -11.212983512074 -33.7163208702749 19.0326867119646 -1.81841198500407 -9.82071479788784 -6.48219649640218 2 "Control"
"X.116.75.59.75.1" 609.813920013373 48.7495543485192 22.8998336105229 0.917616134835328 61.5912816329719 -17.2230039394704 -35.3837981240481 18.8287655511711 -3.97856496168071 -9.84200533606862 2 "Control"
"X.109.25.54.75.1" 846.601919996036 -70.2610721076329 107.710451272633 26.364998115498 -71.6436418723681 -17.4219055816965 -14.3096888524352 -0.341411247754729 -19.8350716819426 -10.349048083305 4 "Control"
"X.101.25.54.75.1" 350.246669428799 -81.1025942671052 142.793839606161 -0.168549399677713 -62.2356116443295 -13.5951871301941 -11.7865276154329 5.84876970872509 -13.6304766171049 -14.8906807808519 2 "Control"
"X.72.75.52.75.1" -808.686783656425 340.862193702551 47.7001906236465 110.462877309242 36.0619375789005 -121.900257505282 -34.1350449293675 -16.5695327958205 -2.86769070256619 1.01245645453032 1 "Control"
"X27.75.65.25.1" -465.590117187821 -65.4900105451474 63.9637047739191 -0.234698394944195 3.68776262226217 -66.8020321590564 25.5402160406563 -2.03014072762273 -8.31588889882089 -3.84897880314039 3 "Control"
"X28.25.65.25.1" -369.221557925711 -76.5290648713045 78.0917258103724 -3.3724120890292 -4.69810592087062 -61.3587090306922 18.4322303353966 -0.661830836313633 -5.51424973780679 -5.91109904905521 2 "Control"
"X33.25.63.25.1" -1053.91198050873 -261.175092023895 -61.2812121660851 41.0998307819692 -15.5705556094582 -19.825308387043 -0.590635356850802 7.45248740229173 -0.187812796670736 3.26969155640395 3 "Control"
"X35.25.57.75.1" -557.379440763653 750.692234918124 -79.9544535096936 -92.7715719950886 -109.6341913345 -38.5203822871679 -36.5695167190138 20.373059220733 -5.84457743253409 -14.2270145486798 1 "Control"
"X44.75.65.75.1" -1066.45727073024 -296.840685334278 -58.4663547032158 36.597187788482 -17.353874126373 -40.1371799897609 32.1972477949409 32.9116617789025 -2.83890026764355 -2.46690322515933 3 "Control"
"X48.25.64.25.1" -442.881028206518 -53.1324211885209 49.235780584344 4.70910141138804 20.9803410783945 -82.7503730401109 29.5217081767256 -1.58911296346624 -8.07653682510366 -3.3121313780738 3 "Control"
"X60.25.59.25.1" -922.026061373384 -205.192413582233 11.0289608770902 -25.5575236244865 10.376726060577 -28.8658786574469 46.2032195780157 18.4769226311169 -1.46180637257519 -4.20360190738835 3 "Control"
"X61.25.64.25.1" -1016.04902274313 -189.384139358196 -35.3090613318197 51.1637974009048 -4.59808195375141 -71.58274930104 22.3852419128303 21.7007681563558 -2.78797913092296 -2.41509735149206 3 "Control"
"X64.75.61.25.1" 808.799358324263 -55.1945605137597 103.378439400472 36.4259343475498 -73.1458109489617 -30.2271223951251 -16.688452413594 -10.1735592683114 -16.5751391649254 -14.1535041461511 4 "Control"
