"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"64.75/61.25/Control" 29.3769900216077 3.56198192820921 2.11000442343085 1.35124464425498 0.221390549608072 0.0457858241571469 -0.0650845133274383 0.0253574896296588
"75.25/58.25/Control" 20.5852112287003 4.14145636889833 1.99174616799013 1.09914565648156 -0.389370430608222 -0.148723904076906 -0.0814187052439196 0.0446929614203618
"79.75/63.75/Control" 63.7756283028846 0.692134768715948 -0.113956789969174 1.56882642412617 -0.39380363576802 0.047787200366299 -0.0607240721623255 0.0345629136902955
"80.75/64.25/Control" 66.9355479825006 0.250925881321642 -0.127856421010867 1.53269598660406 -0.412651834219061 0.0785529114145258 -0.0374451429360247 0.0333997882953168
"140.25/49.75/Control" 20.0944239824387 3.62989968560205 2.73372768762355 1.03230769884354 -0.465678195754786 -0.35145442947912 0.0486361093224187 -0.0361695777601232
"143.25/51.75/Control" 19.094738930902 4.27653305788605 3.28647011086148 1.30840497589822 -0.428216161536805 -0.238027473202014 0.0283097116193733 -0.0302500963568205
"145.75/59.75/Control" 82.7970977895092 -0.144660095908727 0.680496177609891 1.32983331951011 -0.350564081940589 -0.244248910559884 0.0539833794337382 -0.0683127978086878
"-125.25/57.25/Control" 26.2622607886845 1.35343203728936 1.75583418050994 -0.708466006560606 0.375976103912389 0.18779178839207 -0.144970220297452 0.0404772413602567
"-123.25/59.25/Control" 26.3218029003134 1.35770095692392 1.97573069521314 -0.617042943992328 0.468169055284642 0.180011641331692 -0.171169648369121 0.0742879459366404
"-98.75/55.75/Control" 43.8608482133282 0.585257538851041 2.1888558302058 -0.332139791389425 0.665171323369656 -0.316433425470458 -0.0822594442945516 0.0237951088825369
"-96.75/52.25/Control" 12.5187795338736 2.64693837528093 2.74231768534609 -0.21367623355729 0.579124425226935 -0.526760343004582 -0.133741504016571 0.0122444921501791
