"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"79.75/63.75/Control" 1078.71999176682 345.252369771855 -61.0133520801751 -73.6761571610418 -4.55607304733207 -11.5164565421778 -0.15438187907368 -4.31351651236261
"80.75/64.25/Control" 877.50045391015 403.985421424521 -44.5297674410393 -83.8341895163202 -4.7658256926515 -7.01465645812308 1.00053326762067 -5.14572043332499
"140.25/49.75/Control" 846.821840459485 -7.77337084200256 -104.316715016879 -65.5546127454865 -11.2840523612498 17.6780892704559 11.3594667187836 2.72392362148218
"143.25/51.75/Control" -2453.03615747137 159.30142981515 -193.990592437153 -99.8771344402476 -55.1177195533803 14.6127265420159 16.8001806507031 0.799216724655496
"145.75/59.75/Control" -57.402061126781 60.3333730075318 -139.181107352585 -58.4809872373052 60.4573541786292 37.8207141319682 2.03180897607033 -0.280153103276201
"-125.25/57.25/Control" 2033.34121067036 -73.471839079795 -181.190927391537 33.8005269598651 12.4526611024613 4.77806609979818 -1.17721594469428 0.500722133732331
"-123.25/59.25/Control" 2065.88795070602 -83.1102167605105 -125.331778398014 25.8732926754612 6.21035927978075 10.7219357419161 11.4299185380893 -2.0377996142602
"-98.75/55.75/Control" 1738.13716817766 -154.585184911093 -118.59957763175 22.5405378672588 6.47645897211969 7.42159900873589 5.83557071824672 1.93388508284918
"-96.75/52.25/Control" 2783.36331777431 -81.8207834773293 -84.4851535050816 -19.2464020000275 2.49213134667532 11.6353117756845 2.956228785847 2.03320989665615
"-93.25/54.25/Control" 1882.67712566014 -210.378399075329 -187.392730214573 17.846182243807 -25.8077500937824 -4.01494703480432 5.8418677516607 -2.42065302128247
"-89.25/54.25/Control" 891.032309717372 -226.590338812612 -248.332334851013 16.4905774487376 -37.1634077889004 -6.5413679180576 6.35502927981434 -3.5438802174301
"-84.25/49.75/Control" -566.570929360732 -206.974295408089 -174.988374670197 -33.6290196344071 -15.8139211698051 -2.93226703848504 11.522728711404 -1.80317704402403
"-80.75/51.75/Control" -900.289369633869 -102.59162553304 -158.461829375001 -33.0286608333676 -16.4702133252043 -4.65452911297214 5.14237734443271 -3.1086463543209
