"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"140.25/49.75/Control" -846.913397230345 -7.49413071868598 -105.084221496539 -65.95898968671 4.33728706357181 13.0171879274196 -17.5031543835022 11.2970134908554
"143.25/51.75/Control" 2452.90661783597 159.790374855295 -195.226249719208 -100.546109296675 -0.107174090941468 57.3113218651698 -14.4867577300327 17.1684530075883
"145.75/59.75/Control" 56.9790356383394 61.4667920569639 -143.147437840121 -61.8844499476838 86.3733415115178 -38.8219408671543 -36.7331924090222 2.73459127299302
"-125.25/57.25/Control" -2033.44868512213 -73.1988647579247 -181.821662160076 33.4399657606884 12.2378635011444 -9.59739111700878 -4.7634794402088 -0.894391075330753
"-123.25/59.25/Control" -2065.99527639882 -82.8459261041597 -126.0709369985 25.3779593962634 12.9184760547948 -2.93349327193479 -10.5949317768909 11.5294476409082
"-98.75/55.75/Control" -1738.33810806396 -154.059127792252 -120.408943760303 21.1115990984437 32.5437759994819 2.18470705936773 -6.89426050374666 6.10429555559062
"-96.75/52.25/Control" -2783.39095860877 -81.7828069874818 -84.447277479943 -19.0239490167106 -4.82935463874963 -3.8807901304139 -11.6766248668253 2.79037120068989
"-93.25/54.25/Control" -1882.83856052414 -209.933631135492 -188.743941257942 16.9881488387856 13.1642918386803 30.352942459583 4.310928122476 6.17280460299469
"-89.25/54.25/Control" -891.255181031779 -225.940088169356 -250.330923799812 15.1494095257933 21.3345181252602 44.383309515394 6.95854131932596 6.94298748560044
"-84.25/49.75/Control" 566.485719899192 -206.629912170373 -175.963887503418 -34.0953580686718 5.63729113980561 18.0007189538947 3.10436486585159 11.6496990251559
"-80.75/51.75/Control" 900.115156730987 -102.022853519135 -160.271296232812 -34.2976579226616 22.6120912147078 23.3458421064565 5.11448470138989 5.51333042381825
"-58.75/54.75/Control" 695.334619429963 31.7406450856164 -47.8489156158747 1.51517989665237 39.7544364378275 3.40437120413921 -1.05076563938344 3.0810035258492
"-53.75/48.25/Control" 7844.68836560974 379.025687607354 -167.704350933956 115.258162187306 -17.089849396889 69.0794296154891 11.3285369660296 3.60093248056886
"24.25/67.25/Control" -113.490687261265 -110.466050889343 -232.150356624265 57.6601115959915 -3.79399593545757 38.1143528523679 4.60326288821724 9.31534877938987
"33.75/65.75/Control" -1487.94719157378 12.4977908357188 -118.819657966246 -38.0827584697092 -19.6822858361903 43.1017443106881 -1.77641755463115 8.05318798818929
"35.75/58.75/Control" -67.8072805525959 149.113899954592 -62.6555546136774 -55.3534232629108 -26.0865898919569 -22.5410680528291 11.1245718473395 2.90632327192669
"42.25/59.25/Control" -574.545192783949 221.504799888166 -10.6210924079706 -58.3745051604498 -17.1272724295621 -20.3399885850844 5.99500809409382 10.1462704035445
"46.75/65.25/Control" -1970.99458217039 16.6625072620493 -102.633796871849 -19.7305309693769 8.44050388894343 13.9332878833478 -10.2221723379342 8.85140516710547
"46.75/66.25/Control" -1273.89844074686 90.9329618962029 -97.302160823949 -36.4362734247339 22.8506864878255 -12.698824346029 -9.91898993191767 6.60008145176497
"47.25/64.25/Control" -1535.38024197043 69.1376293267295 -99.7008966144085 -34.5178720224959 6.87507594880655 8.58228798913424 -5.36811539754574 11.1051191006769
"54.75/61.25/Control" -210.868147273296 381.547428245332 -29.854249433072 -79.092842724679 7.19186092059449 -20.5334086685533 -0.647409504866163 10.7101470526906
"75.75/61.25/Control" -824.68358942084 188.692777961969 -29.5889304400748 -33.7034724578015 29.3226051429056 16.7546530307916 14.0939069598684 5.99161160607573
